"manyclasses_institution_id","manyclasses_course_id","manyclasses_student_id","z_diff"
2,37,"935dd862a7159ac164ff0e07cd16cf93",2.100526807
2,37,"64e20d4c895178f81c20c066900b1e3f",-1.536126672
2,37,"0fe358b5d5c86b2843ffcb5aae3ac844",-1.479463399
2,37,"2d2c210410da0faf160ecf69ed80b2fd",-0.533866275
2,37,"f24d618c4c8f0b8596bac3fb7f99d54f",2.043863526
2,37,"6b2d75d8559b78b01a57706c77be967c",0.03053386
2,37,"a8db987c97f3f36efd0b8e8655410dec",2.096122355
2,37,"aab39b340ad23f8c289d543bd7019c0e",-0.416135288
11,31,"fe715125959995f3f4f934d5c8df617b",-0.462569825
11,31,"b2a0a9c991f59220ff8f4bbae642cb6d",2.411323506
11,31,"ca2ec0c71099ef0b7a71c32f68bd2a0b",0.473950599
11,31,"4ba918dca2f25ccab5842cf9da1dcc1f",0.119259623
11,31,"fff02d73b0cc4a4e162675f28e206cfe",0.871714877
11,31,"e2025b870fff0b142d8bf4a146c4b870",-0.489143258
11,31,"7beac4a912a7c253ec1b2dc54663fcc9",0.205601827
11,31,"b741c0631800c1a963e4319c83ae5f1e",-0.106571648
11,31,"241f2d79dd8ae8ccde4a570a69320bf8",0.079998206
11,31,"d3b52ff7e7cb0d9e48e7be98ab369936",0.022288057
11,31,"ff81b627b5c64d117e6a7d6b9d2c9e80",0.289885428
11,31,"5b86442436ec0f220fc334a9bfe42f2a",0.483828571
11,31,"5b2edffbd68ca3f5807991c0852645be",0.646635006
1,29,"a5ae37c21a46d1feca717fa87c7514ab",-0.497788557
1,29,"fb6faf1ec812540a93d26c70f2ca942a",0.224182614
1,29,"4fcc6c8110c71920c7528326527ba1d0",-0.801231532
1,29,"1fc7dde6b825e17def052c34c324f1eb",-0.450109441
1,29,"db3d57d60e7d7f1a84feff54529fb692",0.252385095
1,29,"8c3e002886dac2e5b239bf1e9acfef1d",0.563305771
1,29,"cffa4ec2b39ddd89468455b9fc91154d",-0.099106332
1,29,"f5c223de7571ef6f781ab6c996048d54",-0.140377972
1,29,"86bc65807d9048eb8bda8253ab869aba",-0.823581712
1,29,"09074d970818d47420e13856cce0808d",0.445949372
1,29,"3017dc192ad806cb013cfeee1dd0e861",-0.203020528
1,29,"3dc46caa62110041eb04b5be336f290c",-0.207748956
1,29,"8369aad587cc2d0f7a00f0409f3ad0fe",-0.648797475
1,29,"8616ef6eaaddf476063504df22c0bab7",0.597749069
3,38,"5185e1c9f5f468646c8d3124260e9c84",0.472316214
3,38,"4047031ef3675f9dfce77e5ae516fa3a",-1.451786155
3,38,"857c57ad4429057a2a110494746518c2",-1.157237354
3,38,"eaa4721097f88b68b608fbfdacd739c3",-0.506141791
3,38,"cdb8e476e2645ca444a7410fbf46de15",0.833803671
3,38,"9103677a1a9a38d575a543b0ac56987d",-0.099156101
3,38,"4a82b13168df5741b03a5a2ebf7ccafe",-0.320813617
3,38,"e52a27225019917596726adabb52358d",-2.184229398
3,38,"58a9edbc88a4fd6f2d5fdaa82cd1c4ce",1.114955383
3,38,"8b7786e415d8a504f2e4963e9ba7ab1e",-3.443839115
3,38,"38b167d9ece3bae20df9883484998c34",-1.091310633
3,38,"c8b581ebaa68868bd95a6e80c8e16770",-0.359879326
3,38,"c2d81544b42fdc4d6cb0ca2b8d7ba601",-0.965177218
3,38,"38223c541eeae5c7e28b9cfc3c530807",0.236962173
3,38,"69535ba4644fb13131e1aa2f48c35e9a",0.847500198
3,38,"2613f03da9207e5b894739f5a6f706c8",0.959937086
3,38,"36daff7bb7be2f0ca563ddfd45a69f85",1.578931505
3,38,"9eeb470162b9b8095c84b1cd9c2f012f",-1.730434103
